representacion_pais_descripcion;representacion_pais_iso;representacion_descripcion;representacion_circunscripcion;representacion_ciudad_descripcion;representacion_provincia_descripcion;representacion_direccion;representacion_email;representacion_pagina_web;representacion_horario_atencion;representacion_cuidad_codigo_tel;representacion_telefono;representacion_fax;representacion_telefax;;;;;
Croacia;HR;Embajada de CROACIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Gorostiaga 2104;croemb.ar@mvep.hr;;;11;4777-6409;4777-9159;;;;;;
Croacia;HR;Sección Consular de CROACIA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Gorostiaga 2104;consulado.ar@mvep.hr;;;11;4777-7284;4777-0980;;;;;;
Cuba;CU;Embajada de CUBA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Virrey del Pino 1810;secretaria@ar.embacuba.cu;http://misiones.minrex.gob.cu/es/argentina;;11;4782-9049//4782-9089;4786-7713;;;;;;
Cuba;CU;Sección Consular de CUBA en Ciudad Autónoma de Buenos Aires;    Todo el territorio de la República Argentina    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Virrey del Pino 1810;consulado@ar.embacuba.cu;http://www.misiones.minrex.gob.cu/es/argentina/seccion-consular-de-cuba-en-buenos-aires;;11;4782-9049 Int. 112;4780-5633;;;;;;
Dinamarca;DK;Consulado Honorario  de DINAMARCA en Bahía Blanca;;Bahía Blanca;Buenos Aires;Calle 1, Muelle Carga General 8103;;;;291;457-1590//457-1755;457-0653;;;;;;
Dinamarca;DK;Consulado Honorario  de DINAMARCA en Córdoba;;Córdoba;Córdoba;Nuñez del Prado 2884;;;;351;481-0171;;;;;;;
Dinamarca;DK;Consulado Honorario  de DINAMARCA en Mendoza;  ;Mendoza;Mendoza;Gral. Espejo 716 Mendoza;;;;261;424-9555//424-0400;;;;;;;
Dinamarca;DK;Consulado Honorario  de DINAMARCA en Rosario;  ;Rosario;Santa Fe;Av. Fuerza Aérea 2350;;;;341;493-4178;493-4178;;;;;;
Dinamarca;DK;Consulado Honorario  de DINAMARCA en Tres Arroyos;;Tres Arroyos;Buenos Aires;Av. Moreno 114 Oficina 10;;;;2983;426-286;430-572;;;;;;
Dinamarca;DK;Embajada de DINAMARCA;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;AV. Leandro N. Alem 1074 Piso 9;bueamb@um.dk;www.argentina.um.dk;;11;4312-6901;4312-7857;;;;;;
Dominicana, República;DO;Consulado Honorario  de DOMINICANA, REPÚBLICA en Rosario;  ;Rosario;Santa Fe;Córdoba 836 - Piso 1º;;;;341;449-7715;4493274;;;;;;
Dominicana, República;DO;Embajada de REPÚBLICA DOMINICANA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av Santa Fé 911 Piso 6 N, C.A.B.A.;embajada@embajadadominicana.com.ar;;;11;;;4312-9378;;;;;
Dominicana, República;DO;Sección Consular de DOMINICANA, REPÚBLICA en Ciudad Autónoma de Buenos Aires;   Todo el territorio de la República Argentina   ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos Pellegrini 1175 PB Oficina C;;;;11;4312-8562//4894-2080;;;;;;;
Ecuador;EC;Consulado General de la Embajada del Ecuador en Buenos Aires;  Todo el territorio de la República Argentina  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;;consulado@embecuador.com.ar;;;11;;;;;;;;
Ecuador;EC;Consulado Honorario  de ECUADOR en Córdoba;    Prov. de Córdoba, Stgo del Estero y Sta Fe.    ;Córdoba;Córdoba;27 de Abril 902 ;consuladoecuador.cba@gmail.com;;;351;423-7595;;;;;;;
Ecuador;EC;Consulado Honorario  de ECUADOR en Mendoza; Provincias de Mendoza, San Juan, San Luis, Neuquen y La Rioja ;Mendoza;Mendoza;Francisco Moyano 1587;cons.ecuador@gmail.com;;;261;;;4296 416;;;;;
Ecuador;EC;Embajada de ECUADOR;              ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Quintana 585- Piso 9º//Av. Quintana 585- Piso 10º//Beruti 3459, 6º piso, depto G;embajada@embecuador.com.ar//agremil.ecu@fibertel.com.ar//buenosaires@proecuador.gob.ec;;;11;4804-0073/74/3464//4804-8881//4824-9661;;4804-6408;;;;;
Egipto;EG;Embajada de EGIPTO;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Virrey del Pino 3140//Av. Das Nacoes- Lote 12 (70435) Brasilia-Brasil;;;;11;4553-3311//(005561) 226-5630;4553-0067//(005561) 224-6921;;;;;;
Egipto;EG;Sección Consular de EGIPTO en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Olleros 2140;embegypt@fibertel.com.ar;;;11;;;4899-0300;;;;;
El Salvador;SV;Embajada de EL SALVADOR;          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Rodriguez Peña 1524 - ;embajadaargentina@rree.gob.sv;www.embajadaelsalvador.com.ar;;11;6091-7230//6091-7231;;;;;;;
El Salvador;SV;Sección Consular de EL SALVADOR en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Rodríguez Peña 1627 3er. Piso;;;;11;4813-2525;4811-8236;;;;;;
Emiratos Árabes;AE;Embajada de EMIRATOS ÁRABES;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Olleros 2021;buenosairesemb.sec@mofa.gov.ae//buenosairesemb@mofa.gov.ae;;;11;4778-3109//4772-9709//4771-9716;4772-5169;;;;;;
Eslovaquia;SK;Consulado General Honorario de ESLOVAQUIA en La Plata;  ;La Plata;Buenos Aires;Calle 48 Nro. 535 Piso 2;;;;221;489-6541;;;;;;;
Eslovaquia;SK;Embajada de ESLOVAQUIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Figueroa Alcorta 3240;emb.buenosaires@mzv.sk;;;11;4801-3917//4804-8622//4807-9451;4801- 4654;;;;;;
Eslovaquia;SK;Sección Consular de ESLOVAQUIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Figueroa Alcorta 3240;cons.buenosaires@mzv.sk;;;11;4801-3917//4807-9451//4804-8622;4801-4654;;;;;;
Eslovenia;SI;Consulado Honorario de ESLOVENIA en Lomas del Mirador;  Provincia de Buenos Aires  ;Lomas del Mirador;Buenos Aires;Temple 2780;hzupanh@interpack.com.ar;;;11;4480-6709//4441-1719;4480-6710;;;;;;
Eslovenia;SI;Consulado Honorario de ESLOVENIA en Mendoza;          ;Mendoza;Mendoza;Roberto Ortiz 1518;consulado.eslovenia.mza@gmail.com;;;261;427-1986;427-1986;;;;;;
Eslovenia;SI;Consulado Honorario de ESLOVENIA en Paraná;     Toda la Provincia de Entre Ríos     ;Paraná;Entre Rios;;;;;343;;;;;;;;
Eslovenia;SI;Consulado Honorario de ESLOVENIA en San Carlos de Bariloche;  Provincias de Rio Negro, Neuquén, Chubut, Santa Cruz y Tierra del Fuego, Antártida e Islas del Atlántico Sur  ;San Carlos de Bariloche;Rio Negro;"Mitre 265 Piso 7 Of. ""F""";consuladoeslovenopatagonia@gmail.com;;;2944;;;443-7980;;;;;
Eslovenia;SI;Embajada de ESLOVENIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Arroyo 880 - Piso 3º;vba@gov.si;www.buenosaires.veleposlanistvo.si;;11;4894-0621//4894-0631;4312-8410;;;;;;
Eslovenia;SI;Sección Consular de ESLOVENIA en Ciudad Autónoma de Buenos Aires;  Todo el territorio de la República Argentina  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Arroyo 880 Piso 3º;vba@gov.si;www.buenosaires.veleposlanistvo.si;;11;4894-0631;;;;;;;
España;ES;Consulado General de ESPAÑA en Bahía Blanca;  ;Bahía Blanca;Buenos Aires;L.M. Dragó 45  4ºpiso;cog.bahiablanca@maec.es;www.exteriores.gob.es/consulados/bahiablanca/;;291;452-2549//452-3347;451-3330;;;;;;
España;ES;Consulado General de ESPAÑA en Ciudad Autónoma de Buenos Aires;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Guido 1770;cog.buenosaires@maec.es;http://www.cgeonline.com.ar//www.exteriores.gob.es/consulados/buenosaires/;;11;4814-9100;4811-0079;;;;;;
España;ES;Consulado General de ESPAÑA en Córdoba; Provincias de Córdoba, Catamarca, La Rioja, Salta, Jujuy, Tucumán y Santiago del Estero ;Córdoba;Córdoba;Bulevar Chacabuco 875 - Nueva Córdoba;cog.cordoba@maec.es;www.exteriores.gob.es/consulados/cordoba;;351;469-7490;469-1602;;;;;;
España;ES;Consulado General de ESPAÑA en Mendoza;  ;Mendoza;Mendoza;Agustín Alvarez 455;cog.mendoza@maec.es;www.exteriores.gob.es/consulados/mendoza/;;261;;;;;;;;
España;ES;Consulado General de ESPAÑA en Rosario;  ;Rosario;Santa Fe;Santa Fe 768 - Casilla de Correo 485;cog.rosario@maec.es;www.exteriores.gob.es/consulados/rosario/;;341;447-0100;447-0200;;;;;;
España;ES;Embajada de ESPAÑA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Figueroa Alcorta 3102 - 1º Piso;emb.buenosaires@maec.es;;;11;4809-4999//4809-4900//4812-0024//4313-9891;4809-4960//4809-4919//4809-4958//4809-4952//4384-0697//4809-4980//4802-0218;;;;;;
España;ES;Viceconsulado de ESPAÑA en Trenque-Lauquen;  Partidos de: Trenque-Lauquen, Pellegrini y Rivadavia  ;Trenque-Lauquen;Buenos Aires;Agustín Alvear 20;;;;2392;42-5609;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Azul; Azul, Las Flores, Rauch y Benito Juárez ;Azul;Buenos Aires;San Martín 427;;;;2281;15 -525 390;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Carhué;  Los Partidos de la Provincia de Buenos Aires de: Adolfo Alsina, Daireaux (ex Caseros) y Guaminí  ;Carhué;Buenos Aires;Plaza Levalle N° 15;;;;2936;;(02923) 15424715;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Chivilcoy; Partidos de Chivilcoy, Bragado y Alberti ;Chivilcoy;Buenos Aires;Av. Sarmiento 115- Casilla de Correo 136;;;;2346;426-364;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Comodoro Rivadavia;  Los Departamentos de la Provincia de Chubut de: Escalante, Rio Seguer y Sarmiento  ;Comodoro Rivadavia;Chubut;San Martín  674 1;;;;297;15 426 1620;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Concordia; Departamentos de Concordia, Federación y Feliciano ;Concordia;Entre Rios;Hipólito Irigoyen Nº 635 Concordia;;;;345;422-6558;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Corrientes;   Los Departamentos de Corrientes, San Cosme, Itatí, Berón de Astrada, San Miguel, General Paz, San Luis del Palmar, Empedrado, Mburucuyá, Saladas, Concepción, Bella Vista, San Roque e Ituzaingo  ;Corrientes;Corrientes;Mendoza Nº 530;;;;379;03783-425-280;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Formosa; Departamentos de Formosa, Laishi, Pirané, Patiño, Bermejo, Matacos y Ramón Lista ;Formosa;Formosa;J. J. Silva 744;;;;370;443-7385;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Gualeguaychú; Los Departamentos de la Provincia de Entre Ríos de: Uruguay, Gualeguay, Gualeguaychú e Islas del Ibicuy ;Gualeguaychú;Entre Rios;Bolívar Nº 768 Gualeguaychú;;;;3446;628483;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en La Plata; Partidos de: La Plata, San Vicente, Coronel Brandsen, Magdalena, Saladillo, Roque Pérez, Lobos, Navarro, Gral. Las Heras, Cañuelas, Monte, Chascomús, Gral. Belgrano y Gral. Paz ;La Plata;Buenos Aires;Calle 3 N° 667;viceconslp@speedy.com.ar;;;221;4826-463;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en La Rioja;Provincia de La Rioja;La Rioja;La Rioja;Joaquín V. González 505;;;;3822;42-6831;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Mar del Plata; Partidos de: General Pueyrredón, General Alvarado y Mar Chiquita ;Mar del Plata;Buenos Aires;Bartolomé Mitre 1159;;;;223;493-2006;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Necochea;  Partidos de: Necochea y Lobería  ;Necochea;Buenos Aires;Calle 54 Nº 2928;;;;2262;02262-52-9330;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Neuquén; Los Departamentos de la Provincia de Neuquén de Confluencia, Añelo, Pehuenches, Picuen-Leufú y Collón-Curá ;Neuquén;Neuquen;;;;;299;;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Paso de los Libres; Departamentos de General Alvear, San Martín, Mercedes, Paso de los Libres, Monte Caseros y Curuzú Cuatiá ;Paso de los Libres;Corrientes;Belgrano 1980;;;;3772;42-1601;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Pergamino;Partidos de: Pergamino, Bartolomé Mitré, Rojas, Colón y General Arenales;Pergamino;Buenos Aires;General Paz 176;;;;2477;42-5753;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Posadas; Provincia de Misiones ;Posadas;Misiones;Córdoba 1845;;;;3752;42-6086;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Presidente Roque Sáenz Peña;  Comandante Fernández, Quitilipi, 25 de Mayo, San Lorenzo, O´Higgings, May L.J. Fontana, F. Justo Sta. María de Oro, 12 de Octubre, Chacabuco, 9 de Julio, Gral. Belgrano, Almirante Brown, Gral. Guemes, Maipú, Independencia, Las Breñas y Charata de la Provincia de Chaco.  ;Presidente Roque Sáenz Peña;Chaco;Mariano Moreno N°548;;;;3732;0364-442-3555;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Puerto Iguazú; Departamentos Iguazú, Manuel Belgrano, Eldorado, San Pedro, Montecarlo y Guaraní ;Puerto Iguazú;Misiones;Av. San Martín Nº 77 Piso 1 Depto. C Puerto Iguazú ;;;;3757;42-3226;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Puerto Madryn;    ;Puerto Madryn;Chubut;San Martín 575//;;;;2965;0280-4474312//;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Rafaela; Los Departamentos de la Provincia de Santa Fe de: Castellanos, San Martín y San Cristóbal ;Rafaela;Santa Fe;Mitre 73;;;;3492;34920423173;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Resistencia;Resistencia, Tobas, Río Bermejo, Martínez de Hoz y Tapenagá;Resistencia;Chaco;Av. Italia 1265;;;;362;42-7222;42-9978;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Río Cuarto; Local ;Río Cuarto;Córdoba;;;;;358;;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Río Gallegos; Los Departamentos de la Provincia de Santa Cruz de: Corpen Aiken y Lago Argentino ;Río Gallegos;Santa Cruz;;;;;2966;;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Salta;Provincia de Salta;Salta;Salta;República de Israel 137;;;;387;431-2296;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en San Carlos de Bariloche; Los Departamentos de la Provincia de Río Negro de: Bariloche, Lagos, Ñorquinco, 25 de Mayo y Pilcaniyeu ;San Carlos de Bariloche;Rio Negro;Sargento Rolando 218 - Piso 1;;;;2944;42-2975;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en San Juan; Provincia de San Juan ;San Juan;San Juan;;;;;264;;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en San Luis;La Provincia de San Luis con excepción de la localidad de Villa Mercedes y sus distritos;San Luis;San Luis;Avenida España 1437;;;;2652;425-309;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en San Miguel de Tucumán; Provincia de Tucumán ;San Miguel de Tucumán;Tucuman;San Martín 435;;;;381;0391- 155495210;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en San Nicolás; Partidos de: San Nicolás, Ramallo, San Pedro y Baradero ;San Nicolás;Buenos Aires;Bartolomé Mitre 184;;;;336;445-4227;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en San Rafael; San Rafael, Montecoman, Real del Padre, Malargüe y Villa Atuel ;San Rafael;Mendoza;3 de febrero 13.  5600 ;;;;2627;02627-437862;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en San Salvador de Jujuy; Provincia de Jujuy ;San Salvador de Jujuy;Jujuy;;;;;388;;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Santa Fe;  Departamentos de Santa Fé, San Jerónimo, San Martín, Las Colonias, Garay, San Justo, San Cristóbal, San Javier, Vera, 9 de Julio y Castellanos  ;Santa Fe;Santa Fe;Av Rivadavia Nº 3361 Piso 2 Santa Fé;;;;342;454-1156;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Santa Rosa;Los Departamentos de la Provincia de La Pampa de: Capital, Atreucó, Catriló, Chalileo, Cichal-Co,Cura-Co, Limay, Mahuida, Toay, Leventué y Puelén;Santa Rosa;La Pampa;Cnel. Hilario Lagos 237;;;;2954;45-6935;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Santa Teresita;  ;Santa Teresita;Buenos Aires;Calle 37 N° 249;;;;2246;(02246) 522455;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Santiago del Estero;  Provincia de Santiago del Estero  ;Santiago del Estero;Santiago del Estero;;;;;385;;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Tandil; Partido de Tandil ;Tandil;Buenos Aires;Av. España 683;;;;249;442-6129;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Venado Tuerto;Local;Venado Tuerto;Santa Fe;Uruguay 904;;;;3462;42-4490;42-4490;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Viedma; Patagones, Adolfo Alsina, Conesa, PichiMahuida, Avellaneda, 9 de Julio, Valcheta, San Antonio Oeste y Viedma ;Viedma;Rio Negro;;;;;2920;;;;;;;;
España;ES;Viceconsulado Honorario de ESPAÑA en Zárate;  Partidos de: Zárate, Exaltación de la Cruz y Campana ;Zárate;Buenos Aires;Independencia Nº 883;;;;3487;438006//422130;;;;;;;
Estados Unidos;US;Embajada de ESTADOS UNIDOS;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Colombia 4300;;;;11;5777-4533;5777-4240;;;;;;
Estados Unidos;US;Sección Consular de ESTADOS UNIDOS en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Colombia 4300;;http://www.usembassy.state.gov/buenosaires;;11;5777-4533;5777-4205;;;;;;
Estonia;EE;Consulado Honorario de ESTONIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bernabé Márquez 951 San Isidro;pullisaar@ciudad.com.ar;;;11;;4723-7273;;;;;;
Filipinas;PH;Embajada de FILIPINAS;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Zapiola 1701;pheba@fibertel.com.ar//buenosaires.pe@dfa.gov.ph;www.buenosairespe.dfa.gov.ph;;11;4554-4015//4555-1230 //4554-4856//6700-5111;4554-9194;;;;;;
Filipinas;PH;Sección Consular de FILIPINAS en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Mariscal Ramón Castilla 3885;pheba@fibertel.com.ar;;;11;;;;;;;;
Finlandia;FI;Consulado Honorario  de FINLANDIA en Córdoba;Provincias de Córdoba, La Rioja, Catamarca y Santiago del Estero;Córdoba;Córdoba;Bv. Chacabuco 1160;;;;351;420-8200;420-8201//469-8336;;;;;;
Finlandia;FI;Consulado Honorario  de FINLANDIA en Mendoza; Provincia de Mendoza ;Mendoza;Mendoza;J. A. Roca 155 Mendoza;consuladomendoza@live.com.ar;;;261;420-2559;;;;;;;
Finlandia;FI;Consulado Honorario  de FINLANDIA en Oberá; Provincia de Misiones ;Oberá;Misiones;"Lote 15 Sección ""C"" - Sede: Colonia Guaraní";;;;3755;408-945;;;;;;;
Finlandia;FI;Consulado Honorario  de FINLANDIA en Rosario; Local ;Rosario;Santa Fe;"Bv. Oroño 665 ""PB"" Rosario, Santa Fé";alaberm@ber.com.ar;;;341;408-945;;;;;;;
Finlandia;FI;Consulado Honorario  de FINLANDIA en Salta;;Salta;Salta;Caseros 1509;;;;387;422-1942;432-1881;;;;;;
Finlandia;FI;Consulado Honorario  de FINLANDIA en Ushuaia;Provincia de Tierra del Fuego;Ushuaia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Gobernador Paz 1569;;;;2901;423-240//437-454;423-240;;;;;;
Finlandia;FI;Embajada de FINLANDIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fe 846- Piso 5º;sanomat.bue@formin.fi;www.finlandia.org.ar;;11;4312-0600;4312-0670;;;;;;
Francia;FR;Consulado General de FRANCIA en Ciudad Autónoma de Buenos Aires;   Todo el territorio de la República Argentina   ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Basavilbaso 1253 C.A.B.A.;info@consulfrance-buenos-aires.org;www.embfrancia-argentina.org/-Consulat-general-a-Buenos-Aires;;11;4515-6900;4515-6951;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Bahía Blanca; Ciudad de Bahia Blanca ;Bahía Blanca;Buenos Aires;Torre Bicentenario, Peatonal Drago Nº 45 Piso 7 Of. 2 Bahía Blanca;;;;291;430-1711;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Córdoba; Ciudad de Córdoba ;Córdoba;Córdoba;Ayacucho 46;;;;351;429-0915;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en General Roca;Ciudad de General Roca;General Roca;Rio Negro;San Martín 37;;;;2941;433-455;433-455;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en La Plata; Ciudad de La Plata ;La Plata;Buenos Aires;Calle 59 Nº 626;;;;221;483-1616;425-6176;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Mar del Plata; Ciudad de Mar del Plata ;Mar del Plata;Buenos Aires;VACANTE;;;;223;;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Mendoza;  Ciudad de Mendoza  ;Mendoza;Mendoza;Alzaga Nº 4135 Chacras de Coria Mendoza;;;;261;;496-1445;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Resistencia; Ciudad de Resistencia ;Resistencia;Chaco;VACANTE;;;;362;;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Río Gallegos; Provincias de Santa Cruz y Chubut ;Río Gallegos;Santa Cruz;Av. del Libertador Nº 1337 Alianza Francesa - El Calafate;;;;2966;495-118;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Rosario;Ciudad de Rosario;Rosario;Santa Fe;San Luis 846;;;;341;424-8461;426-3021;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Salta; Provincias de Salta y Jujuy ;Salta;Salta;Belgrano Nº 1595 Salta;;;;387;422-4423;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en San Carlos de Bariloche; Ciudad de San Carlos de Bariloche ;San Carlos de Bariloche;Rio Negro;VACANTE;;;;2944;;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en San Miguel de Tucumán;  Ciudad de Tucumán  ;San Miguel de Tucumán;Tucuman;Crisóstomo Alvarez Nº 471 San MIguel de Tucumán;;;;381;426-0333/0525/0313/03/07;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en San Salvador de Jujuy;  ;San Salvador de Jujuy;Jujuy;Armonia 159 B. Chijra;;;;388;426-0175;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Santa Fe; Ciudad de Santa Fe ;Santa Fe;Santa Fe;VACANTE;;;;342;;;;;;;;
Francia;FR;Consulado Honorario  de FRANCIA en Ushuaia; Ciudad de Ushuaía ;Ushuaia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;"Jose O. Retamar Nº 1337 PB Depto. ""B"" Ushuaia";;;;2901;430-025;;;;;;;
Francia;FR;Embajada de FRANCIA;              ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Cerrito 1399//Basavilbaso 1253 - Consulado General//Av. del Libertador 498 - 17º piso;ambafr.argentine@gmail.com//buenosaires@dgtresor.gouv.fr//recepcion@emb-fr.int.ar;http://www.embafrancia-argentina.org/Servicio-de-Cooperacion-y-Accion//www.dgpte.fr/seargentine//www.businessfrance.fr;;11;4515-7030//4394-3032//4515-7052//4515-7061//4515-6900//4515-7081//4394-0002;4515-0120//4515-7056//4515-7066//4515-6923//4515-6951//4515-7086;;;;;;
Georgia;GE;Embajada de GEORGIA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;14 de Julio 1656 ;buenosaires.emb@mfa.gov.ge;;;11;4554-5176;;;;;;;
Grecia;GR;Embajada de GRECIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Mariscal Ramón Castilla 2952;gremb.bay@mfa.gr;www.mfa.gr/argentina//www.facebook.com/greeceinargentina//www.mfa.gr/missionsabroad/es/argentina;;11;4805-1100;4806-4686;;;;;;
Grecia;GR;Sección Consular de GRECIA en Ciudad Autónoma de Buenos Aires;  Todo el territorio de la República Argentina  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Mariscal Ramón Castilla 2952;grcon.bay@mfa.gr;www.mfa.gr/argentina;;11;4805-1100;4806-4686;;;;;;
Guatemala;GT;Embajada de GUATEMALA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Juncal 802 Piso 3° H;embajadaguatemala@fibertel.com.ar;;;11;4313-9180;4313-9181;;;;;;
Guatemala;GT;Sección Consular de GUATEMALA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fe 830 - Piso 5º;inguatar@xlnet.com.ar;;;11;4313-9160//4313-9180;4313-9181;;;;;;
Guinea Bissau;GW;Consulado Honorario  de GUINEA BISSAU en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;25 de Mayo 293, Psio 6° y 7° A;montielconsulhonorario@yahoo.com.ar//;;;11;;;5353-5300;;;;;
Guinea Ecuatorial;GQ;Consulado Honorario  de GUINEA ECUATORIAL en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Avda. Santa Fe 2161, 9° piso;;;;11;4824-7408;;;;;;;
Haití;HT;Consulado Honorario  de HAITÍ en Córdoba;;Córdoba;Córdoba;Ituzaingo 167 - Piso 5° Oficina 2;;;;351;423-7284;423-7284;;;;;;
Haití;HT;Embajada de HAITÍ;            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Figueroa Alcorta 3297;amb.argentine@diplomatie.ht;;;11;4807-0211//4802-5979;4802-3984;;;;;;
Haití;HT;Sección Consular de HAITÍ en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Pte. Figueroa Alcorta 3297;;;;11;4807-0211//4802-5979;4802-3984;;;;;;
Holanda;NL;Consulado Honorario  de HOLANDA en Rosario; Provincias de Santa Fe, Entre Ríos, Corrientes, Córdoba y Tucumán ;Rosario;Santa Fe;Sarmiento 991, Séptimo Piso;;;;341;15-5147472;;;;;;;
